author	identity	work_count	record_count	languages	total_holdings	author_id	source	duplicated
AN Zanaib	NA	NA	NA	NA	NA	NA	NA	NA
Luc Marie Quoniam	Quoniam, Luc	59	74	3	907	lccn-n2011034281	API	FALSE
Antonio Fernández-Cano	Fernández Cano, Antonio	41	52	2	79	lccn-n96027850	API	FALSE
Philipp Mayr	Mayr, Philipp	30	47	2	477	lccn-n2016185974	API	TRUE
Philipp Mayr	Mayr, Pilipp	2	2	1	4	np-mayr,%20pilipp	Web	TRUE
Philipp Mayr	Mayr, Phillip	1	1	1	0	np-mayr,%20phillip	Web	TRUE
Rickard Danell	Danell, Rickard	6	17	2	731	lccn-nb2013024295	API	FALSE
A.N. Zainab	NA	NA	NA	NA	NA	NA	NA	NA
Dangzhi Zhao	Zhao, Dangzhi	5	14	1	192	lccn-no2015041127	API	FALSE
I.K. Ravichandra Rao	Ravichandra Rao, I. K. (Inna Kedage)	28	70	3	342	lccn-n82163270	API	FALSE
Stefanie Haustein	Haustein, Stefanie	6	27	2	1.311	lccn-n2012030867	API	TRUE
Stefanie Haustein	Haustein, Stephanie	5	5	2	6	np-haustein,%20stephanie	Web	TRUE
Elea Giménez-Toledo	Giménez Toledo, Elea	19	69	2	448	lccn-no2003013380	API	TRUE
Elea Giménez-Toledo	Giménez Toledo, Elea	1	1	1	3	nc-gimenez%20toledo%20elea	Web	TRUE
Nader Ale Ebrahim	Nader Ale_Ebrahim	5	5	1	5	np-nader%20ale%20ebrahim	Web	TRUE
Nader Ale Ebrahim	Ebrahim, Nader Ale	2	2	1	2	np-ebrahim,%20nader%20ale	API	TRUE
Kathleen F. Bauer	NA	NA	NA	NA	NA	NA	NA	NA
Joaquín M. Azagra-Caro	Azagra Caro, Joaquin M.	3	3	2	3	viaf-33192415	API	FALSE
Radhamany Sooryamoorthy	Sooryamoorthy, R.	27	85	1	1.876	lccn-no95041888	API	FALSE
Antonis Sidiropoulos	NA	NA	NA	NA	NA	NA	NA	NA
Stephen Bensman	NA	NA	NA	NA	NA	NA	NA	NA
Farideh Osareh	Osareh, Farideh	1	1	1	1	np-osareh,%20farideh	API	FALSE
Marie E McVeigh	McVeigh, Marie E.	1	1	1	1	np-mcveigh,%20marie%20e	API	FALSE
Andreas Strotmann	Strotmann, Andreas	3	12	1	189	lccn-no2015041371	API	FALSE
Raul-Isaac Mendez-Vasquez	Méndez Vásques, Raúl	2	2	1	2	np-mendez%20vasques,%20raul	Web	FALSE
Jesper W. Schneider	Schneider, Jesper W.	7	11	2	19	np-schneider,%20jesper%20w	API	TRUE
Jesper W. Schneider	Schneider, Jesper W.	1	1	1	2	viaf-7870149068424265730002	Web	TRUE
John S. Liu	Liu, John S.	1	1	1	1	np-liu,%20john%20s	API	FALSE
Rafael Bailón Moreno	Bailón Moreno, Rafael	1	1	1	0	np-bailon%20moreno,%20rafael	Web	FALSE
